"Market Participant ID","Market Participant Name","Pool Member ID"
"GDSR","Solus Renewable Energy Ltd",""
"GDSS","Silverstone Green Energy Ltd",""
"GDST","Stroma Group",""
"GDSU","Centre for Sustainable Energy",""
"GDSV","Severn Wye Energy Agency",""
"GDSW","Solarwise Renewables Ltd",""
"GDSX","Sunsource Energy Limited",""
"GDSY","Gas Elec Safety Systems Ltd",""
"GDSZ","British Gas New Heating",""
"GDTA","Tameside Energy Services",""
"GDTB","Telling Blaisdons Ltd",""
"GDTC","City Satellite Limited",""
"GDTE","Tempo Insulation Services Ltd",""
"GDTG","TIC Green Energy Limited",""
"GDTM","Team 42 Ltd",""
"GDTO","Toriga Energy",""
"GDTP","Tees Property Solutions Ltd",""
"GDTR","Toriga Energy Ltd",""
"GDTS","Strathern Solutions Limited",""
"GDTY","Green 360 Ltd",""
"GDUC","UCS Renewables",""
"GDUK","UK Energy Partners Ltd",""
"GDUN","Green Deal Union Ltd",""
"GDUP","Green Deal Upgrade Limited",""
"GDUS","Utd Sustainable Energy Agency",""
"GDVC","Save Co2 Limited","GDVC"
"GDVG","Green Vision Energy Limited",""
"GDVH","50five-(UK) Ltd",""
"GDVL","Verden Ltd",""
"GDVO","Volta Green Deal",""
"GDVS","Sustain Energy (UK) Ltd",""
"GDVV","SFS Home Assist Ltd",""
"GDWB","Wetherby Building Systems Ltd",""
"GDWD","Willmott Dixon Energy Services",""
"GDWE","Warmer Energy Services Ltd",""
"GDWF","Warmfill Limited",""
"GDWG","The Warmer Group Ltd",""
"GDWH","Warmer Home Finance Ltd",""
"GDWI","Willerby Energy Organisation",""
"GDWR","WhiteGold Renewables Ltd",""
"GDWS","Westdale Services Limited",""
"GDWU","Wolseley UK",""
"GDWW","Work Work Ltd",""
"GDXP","Xenon Professionals Ltd",""
"GDXR","2 RED Ltd",""
"GDXS","Southern Energy Solutions Ltd",""
"GDYE","Yorkshire Energy Group",""
"GDYG","Your Green Deal Provider Ltd",""
"GDZS","Sakhara Ltd",""
"GEEX","Good Energy Limited","GEEX"
"GEOR","GEORGIA ENERGY LIMITED","GEOR"
"GESL","SO Energy Trading Limited","GESL"
"GETW","Utilita Energy Limited","GETW"
"GEUK","Green Energy (UK) PLC","GEUK"
"GGEN","ECLIPSE POWER NETWORKS LTD","GGEN"
"GLAC","The Gas Light & Coke Company","GLAC"
"GLDE","Golders Energy Limited","GLDE"
"GMTR","SEFE Energy Limited","GMTR"
"GMTX","SEFE Energy Limited","GMTX"
"GNRG","Green Energy (UK) Plc","GNRG"
"GOEF","Kensington Power Limited","GOEF"
"GONG","Octopus Energy Operations2 Ltd","GONG"
"GOOD","Good Energy Limited","GOOD"
"GOOS","Goosander Services Limited",""
"GRAN","Granular Energy",""
"GREN","Greenwich Energy Trading Ltd","GREN"
"GUCL","Last Mile Electricity Ltd","GUCL"
"GYPL","Great Yarmouth Power Limited","GYPL"
"HABI","Habitat Energy Limited","HABI"
"HARL","HARLAXTON ENERGY NETWORKS LTD",""
"HAVE","Drax Energy Solutions Limited","HAVE"
"HAWA","HAWAII ENERGY LIMITED","HAWA"
"HAWK","MAXEN POWER SUPPLY LIMITED","HAWK"
"HEEL","Hydro Electric Energy Ltd",""
"HELE","SSE Energy Limited","HELE"
"HETL","Home Energy Trading Ltd","HETL"
"HLPR","Haste Ltd","HLPR"
"HMAR","TXU Europe High Marnham Ltd","HMAR"
"HOLB","Holborn Energy Limited","HOLB"
"HOME","ENGIE Power Limited","HOME"
"HPES","HP Enterprise Services UK LTD",""
"HPOW","Drax Energy Solutions Limited","HPOW"
"HUDG","Hudson Energy Supply UK Ltd","HUDG"
"HUDS","Shell Energy UK Limited","HUDS"
"HUMB","Humber Power Ltd","HUMB"
"HYDE","OVO Electricity LTD","OVOE"
"IAMP","Yu Energy Retail Limited","IAMP"
"ICME","Icd Energy Metering Services",""
"ICPL","ICI Chemicals and Polymers","ICPL"
"ICTL","Tym Huckin Ltd",""
"IDAH","Engelhart CTP Energy UK Ltd","IDAH"
"IDCS","IDCS Ltd",""
"IHTL","OVO Energy LTD","IHTL"
"IMPH","Atlantic Energy UK PLC","IMPO"
"IMPO","SSE Energy Supply Limited","IMPO"
"IMPX","Inovyn Chlor Energy Ltd","IMPX"
"INDE","Npower Limited","INDE"
"INDI","Indigo Power Limited","INDI"
"INDQ","Indian Queens Power Ltd","INDQ"
"INDX","Independent Energy HH","INDX"
"INRE","INNOGY RENEWABLES UK LIMITED",""
"INVE","Yu Energy Retail Limited","INVE"
"IPNL","Independent Power Networks Ltd",""
"IRES","Octopus Energy Limited","IRES"
"IRID","British Gas Trading Ltd","IRID"
"IRON","TXU Europe Ironbridge Ltd","IRON"
"ITRI","Itron Metering Solutions UK",""
"JERE","Shell Energy UK Limited","JERE"
"JETS","Tempus Energy Supply Limited","JETS"
"KATE","Npower Commercial Gas Ltd","KATE"
"KEAD","Keadby Generation","KEAD"
"KENS","Yu Energy Retail Limited","KENS"
"KENT","KENTUCKY ENERGY LTD","KENT"
"KEPL","Keadby Power Ltd",""
"KMAL","Kensington Meter Asset Ltd",""
"KMSL","KEIGHLEY METERING SERVICES LTD",""
"KNPL","Kingsnorth Power Ltd",""
"LAKE","Lakeland Power Ltd","LAKE"
"LBSL","Calisen Metering Services Ltd",""
"LCMG","LogicaCMG (UK) Ltd.",""
"LECL","London Energy Company Limited","LECL"
"LENC","Lenco","LENC"
"LENG","ESP Electricity Limited",""
"LIGH","MVV Environment Services Ltd","LIGH"
"LILY","DGP ENERGY LTD","LILY"
"LIME","Limejump Energy Limited","LIME"
"LINK","Kraken Technologies Limited",""
"LMSL","LEYLAND METERING SERVICES LTD",""
"LOND","EDF Energy Customers Limited","LOND"
"LORM","E (GAS AND ELECTRICITY) LTD","LORM"
"LUME","Octopus Energy Operations Ltd","LUME"
"LUMO","OVO Electricity Limited","LUMO"
"LVDR","ESB ENERGY LTD","LVDR"
"MAEL","SmartestEnergy Business Ltd","MAEL"
"MAET","SmartestEnergy Business Ltd","MAET"
"MAGN","Orsted Power Sales (UK) Ltd","MAGN"
"MAGX","Magnox Electric Plc",""
"MAID","Love Smart Limited","MAID"
"MAIN","e2m - energy trading ltd","MAIN"
"MANP","Manx Electricity Authority","MANP"
"MANW","MANWEB plc","MANW"
"MARB","Marble Power Limited","MARB"
"MARI","British Gas Trading Limited","MARI"
"MARY","MARYLAND ENERGY LTD","MARY"
"MASS","MASSACHUSETTS ENERGY LIMITED","MASS"
"MATT","MATTINA LIMITED","MATT"
"MAVE","Maverick Energy","MAVE"
"MCOR","METER CORP LTD",""
"MCOT","Meter Corp 4 Ltd","MCOT"
"MCVI","McVickers Limited",""
"MDSL","M GROUP ENERGY (DATA INSIGHT)",""
"MECB","Magic Thermodynamic Box",""
"MEDP","Medway Power Ltd","MEDP"
"MEMD","Metering Services (MIDE Area)",""
"MEMW","Metering Services (MANW Area)",""
"MENW","Metering Services (NORW Area)",""
"MESL","Metering Services Ltd.",""
"MESS","Metering Services (SPOW Area)",""
"MFAL","Meter Fit Assets Limited",""
"MFDE","Meter Fit 20 Limited",""
"MFGE","Meter Fit Assets Limited",""
"MFMP","Meter Fit Assets Limited",""
"MFSE","Meter Fit 10 Limited",""
"MFUL","Meter Fit Assets Limited",""
"MFVE","Meter Fit 11",""
"MFXC","Meter Fit Assets Limited",""
"MGAS","Midlands Gas Ltd","MGAS"
"MHHS","Elexon Limited",""
"MICH","MICHIGAN ENERGY LIMITED","MICH"
